0.9202586
class4,p
II,0.923409655641327
nonevent,0.119690950510636
nonevent,0.00224369545656966
nonevent,0.0565864203017338
nonevent,0.028353615739906
nonevent,8.54735632999093e-05
nonevent,0.186022962331203
nonevent,0.00218772138604573
Ia,0.995058066120794
nonevent,0.063014779057312
Ib,0.998416970669752
II,0.97645186630273
II,0.711195425612039
nonevent,0.000160581611873045
nonevent,0.00259713903185066
II,0.966985835359241
nonevent,0.607195740960242
II,0.995688023418106
II,0.819267605719693
nonevent,0.53648595038977
nonevent,0.0771569012285659
II,0.74718331936077
nonevent,0.00640867524346334
nonevent,0.55972241626006
nonevent,0.394233136732928
nonevent,0.556140946141971
Ib,0.995403800820215
nonevent,0.0741339191982846
nonevent,0.10287218163883
II,0.92426062420949
nonevent,0.0308627141191727
nonevent,0.000465177884817147
II,0.933948823291835
nonevent,0.170897802045106
II,0.801503050736467
Ib,0.94767269863652
nonevent,0.307029944526306
nonevent,0.0502142637266263
nonevent,0.480055952196241
II,0.94950872718757
Ib,0.923915569528538
nonevent,0.00105619196486628
nonevent,0.10092264631173
nonevent,0.00287563615027608
II,0.822674665542793
nonevent,0.00175539480511633
nonevent,0.136809445613206
nonevent,0.00962566707612522
II,0.656181214328216
nonevent,8.52768309593799e-05
nonevent,0.203186695743789
II,0.986978070681546
nonevent,0.245305122165097
nonevent,0.00558535961175122
nonevent,0.0857119395307603
nonevent,0.509713888436374
nonevent,0.365817536460203
nonevent,0.0293715460679014
II,0.950825927128494
nonevent,0.0658712569705057
II,0.990614914379917
nonevent,0.107183811241387
II,0.984129906982502
Ib,0.825599841654668
nonevent,0.0859227535490734
II,0.929719274421877
Ib,0.915976058681102
nonevent,0.0474429009037974
nonevent,0.0749457383194443
nonevent,0.0850437864229823
nonevent,0.146704436767505
II,0.941424359615373
II,0.917330705390767
II,0.981947859287658
nonevent,0.138096970030491
nonevent,0.068421152473789
II,0.647176367722902
II,0.94603132012122
Ib,0.997244109240972
Ib,0.727778857869061
nonevent,0.0560402894277588
nonevent,0.127863217443986
II,0.948161723798856
Ib,0.988185658103916
Ib,0.992307490385702
nonevent,0.00740649250790704
II,0.982474087616295
nonevent,0.33058965525484
II,0.993961940795374
nonevent,0.00135831233360906
nonevent,0.105234769024543
II,0.555676579235878
nonevent,0.0167805838297082
nonevent,0.0182958904267847
nonevent,0.0571108059499293
Ib,0.996390546379041
II,0.991680016998712
nonevent,3.29020631899546e-05
nonevent,3.30034937383594e-05
nonevent,0.0106969529458384
nonevent,0.134885310970396
nonevent,0.14190774735032
nonevent,0.0162815858290941
nonevent,0.0101696310400393
nonevent,0.670900967868812
II,0.944168178873051
nonevent,0.0277418847009168
nonevent,0.484987235600545
nonevent,8.02011703548988e-06
nonevent,0.0088618492113226
nonevent,0.132855106125477
Ib,0.999336898738298
II,0.978672975394275
Ib,0.999719459186464
nonevent,0.00269508192095236
nonevent,0.00218782788939875
nonevent,0.000131788719926473
Ia,0.999150522460854
Ia,0.982922932181118
Ia,0.80534615502412
nonevent,0.0431956407420627
II,0.985468139205828
II,0.961507607638189
nonevent,0.0110921007937622
Ib,0.990727600318312
Ib,0.989827866656349
nonevent,0.0796402618556132
II,0.985091183200007
nonevent,0.0444520118890829
nonevent,0.462282280086833
nonevent,0.00200571911381109
Ib,0.98948891410425
nonevent,0.0475025867234162
nonevent,0.00012569785231642
nonevent,0.000464131081160168
nonevent,0.0177664543985712
II,0.916458718156397
Ib,0.943024339057844
II,0.935164059923289
Ib,0.768544684074337
II,0.981211123926481
nonevent,0.00132231306058606
nonevent,0.190718718682113
nonevent,0.184905629159192
II,0.946978154369578
nonevent,0.143597342395275
II,0.99683615379757
Ib,0.923667567366618
nonevent,0.128083619383055
nonevent,0.0790773495315726
nonevent,0.0292440319927746
Ib,0.971131927061091
nonevent,0.119852010927854
nonevent,0.00481056728526918
nonevent,0.000233867930911624
nonevent,0.0604834705024884
II,0.992248551529098
nonevent,0.00508405398147438
nonevent,0.326070799248266
nonevent,0.000712469327895704
II,0.656583360666432
nonevent,0.233003195150631
nonevent,0.305568902294694
nonevent,0.051086683379981
nonevent,0.211495355456631
nonevent,0.0037186679178941
II,0.997600080700062
nonevent,0.000489371724264109
nonevent,0.0665096715413742
nonevent,0.0225496096458722
Ia,0.772155903007582
nonevent,0.00499290123474927
nonevent,0.190921902827847
II,0.718427288274512
nonevent,0.280051853825712
II,0.985159625744398
II,0.98037888065644
II,0.724383217645826
nonevent,0.00112148385992872
II,0.948435644669288
nonevent,0.0323955696969791
II,0.733354544543574
Ib,0.999534188327423
II,0.887375818224153
nonevent,0.00235040374497064
II,0.685796587169399
Ib,0.998209286300772
nonevent,0.247808949616469
II,0.982607426204837
Ib,0.885589821147403
Ib,0.998109436474537
nonevent,0.0318038300667922
Ib,0.993341650220771
II,0.9562619861629
nonevent,0.0765969635858943
nonevent,0.356804579916626
Ib,0.998202576524175
nonevent,0.471507349740242
nonevent,0.591671891912855
II,0.928624318466095
II,0.613943628536964
II,0.833052943564013
nonevent,0.000503626238624544
nonevent,3.08320545724383e-05
II,0.858752889134304
Ib,0.989058049624376
nonevent,6.39452051256484e-05
II,0.689819713503968
II,0.943658166787972
II,0.945929313660947
nonevent,0.00515829692355185
nonevent,0.0625164463354989
nonevent,0.0274190848108943
II,0.89751212787559
Ia,0.999309265117392
nonevent,0.028827051309069
nonevent,0.0760558977670089
Ib,0.962941068400845
II,0.982395295522999
Ib,0.999131689914911
nonevent,0.0333474446284935
nonevent,0.000103881823340424
II,0.969634557814539
Ib,0.990672293757546
Ia,0.94069123613361
nonevent,0.00573221603749807
II,0.999352717620444
II,0.976989235524691
Ib,0.998896028131517
nonevent,0.00212250106627554
Ib,0.968522708356436
II,0.991348456493906
II,0.996540105955325
nonevent,0.000743031365348146
nonevent,0.455251021797118
nonevent,0.248600422685227
nonevent,0.0174092056223071
II,0.83471830955926
Ib,0.987325814684318
Ib,0.99396662845993
nonevent,0.195870000832859
nonevent,0.0273932517513072
Ib,0.981117156105207
nonevent,0.00974758659039032
nonevent,0.0470314022092236
II,0.981941972690305
nonevent,0.128458833646549
Ib,0.990733187462371
II,0.99856612786771
nonevent,0.466800265504238
nonevent,0.531635490659911
Ib,0.993054371696518
nonevent,0.0833211569202766
Ib,0.964147036706382
nonevent,0.255943733742153
II,0.665403140529173
nonevent,0.000147491951842271
II,0.989548976164557
II,0.60427614946688
Ia,0.999574167739224
II,0.676851716390066
II,0.703370587220054
nonevent,0.0568049083428931
II,0.876842514060089
nonevent,0.0944392965239433
nonevent,0.0135339569888366
Ib,0.979359989800214
Ia,0.974997846796783
nonevent,0.00692598780776932
nonevent,0.436330570464685
nonevent,0.174834698189141
II,0.671552657236446
II,0.692297044541607
nonevent,0.066123780163948
II,0.929468337737686
nonevent,0.0169193146157629
Ia,0.773338320169838
Ib,0.99783375219357
II,0.930937176942212
nonevent,0.000163755365885421
II,0.881441543290634
II,0.808894489058651
II,0.996908025325729
nonevent,0.000344572340025495
II,0.968599907212909
Ib,0.998474506389106
nonevent,0.136006835297028
II,0.998796176109493
Ib,0.998983699610683
II,0.867425752097332
nonevent,0.209836862030133
II,0.975672429709786
II,0.806193160076565
II,0.962709402907905
II,0.963502610314836
nonevent,0.0503983274399525
II,0.979411503833242
nonevent,0.00439993047667864
nonevent,0.00037601085216421
II,0.994001525501464
Ib,0.999288753966333
II,0.997894835385327
II,0.979350639683372
nonevent,0.101261702205653
II,0.747496469838751
nonevent,0.0601496304442973
Ib,0.986735902318752
Ib,0.996417376964662
nonevent,0.0478124852688859
II,0.981861592376996
nonevent,0.225141465711698
nonevent,0.0684871832105125
II,0.992624021603208
nonevent,0.00488626580290008
II,0.999206235427631
nonevent,4.55321411612086e-05
nonevent,0.415510086607581
II,0.747740488872772
nonevent,0.069314204603655
nonevent,0.00463011416575709
Ib,0.882994353202437
II,0.993602717293338
II,0.997702366063933
nonevent,0.015225504212301
nonevent,0.244484173655816
nonevent,0.0873790244361144
nonevent,0.000944481741110281
nonevent,0.0428985029898873
II,0.86152958201842
II,0.892110449427019
II,0.986737326528053
II,0.980789224923028
nonevent,0.0164415781430219
Ib,0.994306061139032
Ib,0.723078227613881
nonevent,0.00023084733948664
nonevent,0.258769797493373
nonevent,2.45401357945596e-06
Ib,0.889672910192346
II,0.997136324148419
Ia,0.719051086619273
II,0.606741011080302
Ib,0.993300378583942
nonevent,0.0962723777655217
II,0.996909616595571
Ia,0.853690996399706
nonevent,0.151685393570065
nonevent,0.0102410639155707
nonevent,0.234998051097865
nonevent,0.000127397139688568
nonevent,0.258305220907473
Ib,0.964044565815998
nonevent,0.0445826694422116
Ib,0.695100726311405
nonevent,0.0378392717252954
nonevent,0.00853708316097612
nonevent,0.00952009356490435
nonevent,0.00376521698521792
nonevent,0.0950526187193784
nonevent,0.000691314419621336
II,0.96242740185228
II,0.977845107087412
nonevent,0.000307373294608948
II,0.700064285936279
II,0.978615788011818
II,0.85902728362296
nonevent,0.350237480956144
nonevent,0.0239924967671716
Ib,0.872428202070563
II,0.998028613960925
nonevent,0.0171795230893207
nonevent,0.362457864735228
nonevent,0.292843336571305
nonevent,0.0818194336030943
nonevent,9.00148599181083e-05
II,0.977210000376747
nonevent,0.1061538602841
Ib,0.986321956279358
nonevent,0.000722789806914426
II,0.977664204781305
II,0.789832735783745
nonevent,0.00762798735308035
nonevent,0.0505273032625709
nonevent,0.00240061553250737
nonevent,0.265049976674104
nonevent,0.0404319774954464
nonevent,0.280800773707721
nonevent,0.0584475910423206
nonevent,0.315987807862453
II,0.968012623429088
II,0.85879031827407
nonevent,2.66375994064649e-05
II,0.963877910004552
nonevent,0.506924635803374
nonevent,0.00568444860914541
II,0.998796465716232
nonevent,0.0123080659155386
nonevent,0.000375955502919023
Ib,0.996394175773451
nonevent,0.0762395819772255
II,0.929989925476913
nonevent,0.000948631207281059
nonevent,4.95738654904265e-07
II,0.703968195257687
Ib,0.908700235473306
Ib,0.804561316276848
II,0.993032910537603
Ib,0.998258358485734
nonevent,0.00151499532986532
nonevent,0.039286030168756
nonevent,0.0107934081343111
nonevent,0.00416737471262885
II,0.948290181871379
II,0.876681954934195
nonevent,0.172505490860038
II,0.900131553778009
II,0.993576356131204
Ib,0.965447197400672
nonevent,0.0174852309510664
Ia,0.813517098762109
nonevent,0.000301903087454036
nonevent,0.00203629103611325
nonevent,0.177571923081869
Ib,0.97602184982099
II,0.968053424833037
nonevent,0.154182660553732
nonevent,0.439189627582332
nonevent,0.152285549812594
nonevent,0.00430465834487481
nonevent,0.426559125534304
nonevent,0.226112777691513
II,0.995183513375729
nonevent,0.00352551476005836
nonevent,0.0159817544759816
nonevent,0.138407635582238
nonevent,0.00657758859343394
II,0.97961336655843
nonevent,0.000783778445318739
nonevent,0.000790703768651535
II,0.893400856198886
II,0.70302784715318
nonevent,0.586865190159279
nonevent,3.24268951022999e-05
nonevent,0.00401220549526282
nonevent,0.000243626406996711
nonevent,0.0183134281197522
II,0.968263097796643
nonevent,0.265375606690332
II,0.996021171035798
nonevent,0.0494792620014384
nonevent,0.280378450312379
Ib,0.98471117827883
nonevent,0.0287876088381563
nonevent,0.0684665056868724
nonevent,0.00025471133263244
nonevent,0.329287532597525
nonevent,0.110773638690131
II,0.990715622465043
II,0.786396582770446
II,0.652201095832778
nonevent,0.44952254457928
nonevent,0.0279646603812173
Ib,0.948440107966614
II,0.997227293261269
nonevent,0.213859794798771
nonevent,0.521202389498865
nonevent,0.0523545614476906
nonevent,0.0366801262770746
nonevent,0.0422253519011023
II,0.99962873773299
nonevent,0.0402538501770838
nonevent,0.0258915667307177
nonevent,0.0869955658954427
II,0.553544917008509
II,0.996829341253075
II,0.962888330366023
II,0.903487790679499
nonevent,0.0757718031842816
nonevent,0.00551677949103202
nonevent,0.00111922873853121
II,0.874807725958223
II,0.935931140912136
nonevent,0.594946868969608
nonevent,0.0200608514412035
nonevent,0.021863883470969
nonevent,0.00617322387738983
II,0.76419737902044
Ib,0.799925764261979
II,0.970180831904771
nonevent,0.0240575961478514
II,0.881791313242153
nonevent,0.498645539754487
II,0.983852772330233
Ib,0.860867236752087
II,0.978117795972956
nonevent,0.516999366746772
nonevent,0.107225215792211
II,0.993766106967818
Ib,0.985722286717098
Ib,0.998237534900526
nonevent,0.00023119513665637
nonevent,0.665291679683857
nonevent,0.253929321828416
nonevent,0.0219498767665427
Ib,0.997490586048848
Ib,0.996047021403604
nonevent,0.263727560477435
nonevent,0.407196886685299
nonevent,0.108866134784081
nonevent,0.189597580898094
nonevent,0.387986903158554
Ib,0.997627234201905
Ib,0.920718560731823
II,0.970876271554464
Ib,0.987620108176374
nonevent,0.00411822508394466
nonevent,0.00188123061769985
Ib,0.949765173210488
II,0.916054348950302
Ib,0.799116530178031
nonevent,0.0353411213829927
Ib,0.998837802330481
nonevent,0.251974775203636
nonevent,0.59251614176377
Ib,0.987067904663359
nonevent,0.0398685893589314
nonevent,0.168376758628366
nonevent,0.074952168590143
nonevent,0.36452917479297
nonevent,0.0797270110642496
nonevent,0.00343567340563611
Ib,0.868402372369086
II,0.662911583056656
nonevent,0.000859282690024665
II,0.599747806438947
nonevent,0.00333575106426254
nonevent,0.00310145527227257
nonevent,0.210811408048421
nonevent,0.02660541687207
nonevent,0.324416197735322
nonevent,0.655002158216175
nonevent,0.206541522130635
nonevent,0.00951477574314841
II,0.903085093456941
II,0.955992629828174
nonevent,0.00866253758785551
nonevent,3.11206504723938e-05
Ib,0.938513146213616
nonevent,0.187553127771112
II,0.939361277759652
nonevent,0.0840760837917279
nonevent,0.00206744092445965
II,0.998473943997315
nonevent,0.578895839497673
Ib,0.975322221961805
nonevent,0.000781039279284079
nonevent,0.548920994164874
nonevent,0.101780202022099
Ib,0.983751400016819
nonevent,0.00217985882646021
Ia,0.758445862243085
II,0.962343294920843
nonevent,0.102255320988533
nonevent,0.00073203608800787
nonevent,0.0392182213102003
Ib,0.945199109713212
nonevent,0.071772384916814
II,0.991885911435757
nonevent,0.00994813258093397
II,0.690332208825745
II,0.987633296356889
II,0.92511141222378
II,0.998651120440648
II,0.920258006403498
nonevent,0.0823902660404322
nonevent,0.294090515245414
nonevent,0.221291845161755
nonevent,0.000863938377600015
nonevent,0.0328861754878721
nonevent,0.0411897619464406
nonevent,0.0486863436402045
nonevent,0.0167019454657216
nonevent,0.0957187977638344
nonevent,0.0105142341145795
Ib,0.984407906557288
nonevent,0.241229176951465
Ia,0.983805935612858
nonevent,0.000750600687874803
II,0.933251986611203
nonevent,0.0321330428280288
nonevent,0.0309967274172922
Ib,0.980796476400743
nonevent,0.133898940258178
II,0.993148133283652
nonevent,0.013094506486381
nonevent,0.0465558158637547
II,0.979124924909495
nonevent,0.0422391933801148
nonevent,0.581164561292279
nonevent,0.00535815990881905
Ib,0.967801060339087
nonevent,0.029367453440135
nonevent,0.00119753408881085
nonevent,0.0332331137761859
II,0.81021730448218
Ib,0.999195168974942
nonevent,0.0681082095231447
nonevent,0.0202064297545227
II,0.991998229981537
II,0.981632078595899
nonevent,0.0154222123352414
II,0.838243082143545
nonevent,0.00652636204500612
Ib,0.972138463871326
II,0.970817370491864
II,0.852665270448154
Ib,0.995404617518403
nonevent,0.0212702450662166
nonevent,0.085247220938343
II,0.779249615668483
II,0.833119607255443
nonevent,0.0174750179731057
II,0.936396201301984
II,0.966262996993591
nonevent,0.00187886346555433
II,0.936392543691668
II,0.943026599176287
nonevent,0.557355045427365
nonevent,0.0608537800772352
II,0.873779057286296
II,0.806261001318082
Ib,0.974711390144595
nonevent,0.00116784179216578
nonevent,0.0012021804190846
Ib,0.8958619776205
II,0.959301147837007
nonevent,0.199162009634606
nonevent,0.042939836739411
nonevent,0.253618351686275
II,0.736698493078968
Ib,0.870031872495431
nonevent,0.0417510497531499
nonevent,0.000469784151297614
Ib,0.995655897279525
nonevent,0.0870758502057715
II,0.931330533478735
nonevent,0.0440493746168048
II,0.649236750446304
nonevent,0.00561514658918838
nonevent,0.393798394958586
II,0.991796410380828
nonevent,0.0364283321809861
Ib,0.993519582992011
II,0.995057128244551
II,0.998902515417278
nonevent,0.302467502989739
nonevent,0.272594778500952
II,0.761590883515889
II,0.819962214656191
nonevent,0.00872737544417668
nonevent,0.00867123648440082
Ib,0.998603400019388
Ib,0.999322007958301
II,0.987299642393694
nonevent,0.447733736318806
II,0.98344965686305
Ib,0.991669762539717
nonevent,0.145163407310636
nonevent,0.110115495103313
nonevent,0.0138932249097045
nonevent,0.530386343644155
II,0.923504878228303
Ib,0.992435899592422
nonevent,0.103213747231676
nonevent,0.101582043314285
Ib,0.730874243257095
Ib,0.99590373306321
nonevent,0.296756670157364
nonevent,0.0613502840846172
nonevent,0.00573380145707592
Ia,0.996680307823317
nonevent,0.035558370699815
II,0.576273044810684
II,0.797555376072058
II,0.972428007848128
II,0.860833303244235
Ib,0.999702509996978
nonevent,0.089786984718021
nonevent,0.221495995909936
nonevent,0.527651038920304
nonevent,0.142252170461952
nonevent,0.00160263645534098
II,0.996015191463697
II,0.990119266594259
II,0.993801800933483
nonevent,0.00805349962437074
II,0.983037327182274
nonevent,0.143569258483812
nonevent,0.000747274496634254
nonevent,0.000258559523971025
Ib,0.93572249046351
nonevent,0.054091912481508
nonevent,0.480656188653788
nonevent,0.473596081418876
Ib,0.995348263119489
nonevent,0.0734559400052511
II,0.97916092350318
nonevent,0.138701685573717
Ib,0.746350429103803
II,0.905911854957762
Ia,0.823304642667014
II,0.950820002485864
nonevent,0.493586754121123
II,0.988331091513772
II,0.828100674097337
nonevent,0.0131986703457631
II,0.997859624016505
II,0.99462722057451
II,0.992503705061119
nonevent,0.239759249043944
nonevent,0.0103068744132333
nonevent,0.387683632833179
nonevent,0.0418313324508199
nonevent,0.0267268008829157
nonevent,0.183936663214524
nonevent,0.0581843112402323
nonevent,0.452200958550051
nonevent,0.000154697545066251
Ib,0.997551979196619
nonevent,0.392805107427559
II,0.996291149371737
Ib,0.994543044838227
II,0.969594328829915
nonevent,0.269997100108154
nonevent,0.469042678353098
nonevent,0.00115029164266844
II,0.98995153818155
nonevent,0.00715470633928506
nonevent,0.29206902238246
Ib,0.997938422373739
nonevent,0.00520574452726452
nonevent,0.00683548932392553
nonevent,0.521928409269885
nonevent,0.285161531468056
Ib,0.997639287538659
Ib,0.926254759284017
nonevent,0.0555835933634133
Ib,0.875161531096876
II,0.70085597722982
nonevent,0.0176589011099548
nonevent,0.128100765324773
II,0.923832236415422
nonevent,0.478659498094392
nonevent,0.0813758090971327
Ia,0.999231679265658
nonevent,0.274504094729977
nonevent,0.0473507633299605
nonevent,0.0237603156151305
II,0.989708436959043
II,0.992501731143414
Ib,0.995959449279961
Ib,0.993039240344765
II,0.804135716172204
nonevent,0.0116125105723784
nonevent,0.00365514651182053
II,0.995942969968408
II,0.993659360904072
Ib,0.921193062692044
nonevent,0.0313386742885081
nonevent,0.287972954706817
Ib,0.998412652452349
nonevent,0.339624932235022
Ib,0.98705445561626
nonevent,0.00689228129997754
II,0.995242875672093
Ia,0.824188771277108
nonevent,0.00366041071478251
nonevent,0.0444037046749062
nonevent,0.610473461649623
nonevent,0.645929076941467
nonevent,0.198693738062537
nonevent,0.358780271200286
nonevent,0.361037016923269
nonevent,0.00609377945735767
nonevent,0.516688939637755
II,0.741769444765332
nonevent,0.305579067113443
nonevent,0.000250050710823846
II,0.969425474819836
nonevent,0.0340071675219937
Ib,0.997178892465838
II,0.967419511987965
II,0.957121414776763
II,0.986031607673964
nonevent,0.0603412474272577
nonevent,0.0481209267397312
II,0.996313363920845
nonevent,0.000160437162577076
nonevent,0.0130854426310778
II,0.791233065470468
II,0.995944842648095
nonevent,0.0882982533234261
nonevent,0.0681188256660729
II,0.900093300855594
nonevent,0.000264160346760356
nonevent,0.150771211426993
II,0.717888616675824
nonevent,0.482235957466327
nonevent,8.79940208479146e-05
Ib,0.997964523983453
nonevent,0.0259703697948639
nonevent,0.369027800752187
Ib,0.996793076638328
nonevent,0.00433197996328227
nonevent,0.111012162110666
nonevent,0.00193520178964346
nonevent,0.00113744086043155
Ib,0.887583673096933
nonevent,0.132269531477955
nonevent,0.0798265610832466
Ib,0.962774522439544
nonevent,0.00628137142247231
nonevent,0.0259986743631293
II,0.663981781928541
nonevent,0.00170247247564903
nonevent,0.013343503158083
nonevent,0.0138451616679283
nonevent,0.025576875475865
Ib,0.783043416987784
II,0.893119701508108
nonevent,0.0110994214990662
nonevent,0.0263135538719946
nonevent,0.0542101572103267
II,0.779576016808794
nonevent,0.601887330848248
Ib,0.986831882222275
II,0.883426774440919
nonevent,0.0103190025226905
nonevent,0.0463059731095459
nonevent,0.115217731899744
II,0.928696951588675
nonevent,0.00360886978419184
nonevent,0.201564838877258
nonevent,0.0340862609893853
nonevent,0.000490547124549545
II,0.871495564761672
II,0.947809335383502
nonevent,0.0117522194607456
nonevent,0.000104658056222617
nonevent,0.173234536217416
nonevent,0.019209068736026
II,0.998124153275098
II,0.754083407157692
II,0.704577817346789
Ib,0.994598109115654
nonevent,0.000167524001196795
nonevent,0.251278956175173
nonevent,0.0830447487698328
Ib,0.990373738389333
nonevent,0.019351484247196
nonevent,0.226927041270595
nonevent,0.113380427237355
nonevent,0.000497973381562766
Ib,0.998261997223658
II,0.746693030054103
nonevent,0.000310483154391306
Ia,0.7604445138261
nonevent,0.00158466464812534
II,0.850960072401069
nonevent,0.00500984244637848
II,0.908443709285946
II,0.829300977307772
nonevent,0.00011193482097227
nonevent,0.00772493844228839
Ib,0.943854040377969
nonevent,0.212359873308771
nonevent,0.520345028627459
nonevent,9.30251922448555e-06
nonevent,0.29903859701581
nonevent,0.592889837139596
nonevent,0.0576145594485463
Ib,0.910177574152918
nonevent,0.00579518862690975
II,0.847021567419234
